"castID","castName","primaryShowCode","aka","notes"
"1","Mike Enoch","tds","Mike Peinovich","host of TDS"
"2","Sven","tds","Jesse Dunstan; Seventh Son; Bjorn","host of TDS"
"3","Alex McNabb","tds",,"https://www.huffpost.com/entry/white-supremacist-emt-alex-mcnabb_n_5c0aeed4e4b0a606a9a8a967"
"4","Ghoul","tds","Cooper Ward","https://www.splcenter.org/hatewatch/2017/01/26/neo-confederates-breaking-right-stuff-after-doxxing-scandal"
"5","Jayoh de la Rey","tds",,
"6","Bulbasaur","tds","Van Bryant II","https://www.splcenter.org/hatewatch/2017/01/26/neo-confederates-breaking-right-stuff-after-doxxing-scandal"
"7","Hateful Heretic","tds",,"https://angrywhitemen.org/tag/hateful-heretic/"
"8","Andrew Anglin","tds",,"The Daily Stormer"
"9","Jazzhands McFeels","ftn",,"Fash the Nation; Jazz and Jesse"
"10","Johnny Monoxide","pp","John Ramondetta","Mike and the Mad Wop; Paranormies Present; This Week In White Genocide; Hail Victory; (Re)Moving the Goalposts"
"11","MeinKraft1001","tds",,
"12","Greg Johnson","tds",,"Counter Currents ; https://www.splcenter.org/fighting-hate/extremist-files/individual/greg-johnson"
"13","Richard Spencer","msg",,
"14","Eric Striker","sm","Joe E Jordan","Strike and Mike; The People's Square; "
"15","Meow Mix","tds","Meow Blitz",
"16","Eli Mosley","tds","Eliot Kline","https://www.nytimes.com/2018/02/05/insider/confronting-a-white-nationalist-eli-mosley.html"
"17","Christopher Cantwell","tds",,"Radical Agenda ; https://www.nbcnews.com/news/us-news/crying-nazi-christopher-cantwell-found-guilty-extortion-rape-threat-case-n1241263"
"18","Lawrence Murray","tds",,
"19","Bradshaw Wilson","pp","BradshawWilson (twitter)",
"20","Curt Doolittle","tds",,"Propertarian Institute"
"21","Raiden","tds","Robert Carlyle; Grant Madison; Michael Fallows",
"22","Claus Brinker","tds",,
"23","Graaaaaagh","tds",,
"24","James Allsup","ftn",,
"25","Kimmie Goebbels","tds",,
"26","Sean Last","tds",,
"27","Caerulus Rex","3r","Brian Brathovd","https://keybase.io/Caerulus_Rex"
"28","Charlie Hammer","tds",,
"29","Cledun","tds",,
"30","D'Marcus Liebowitz","tds","twitter: IAR_Podcast ; 1OfTheGoodGoys","Intersectional Alt-Right"
"31","Graf Rudolf","tds",,
"32","Horatio Carey","tds",,
"33","Jean-Francois Gariepy","ks",,"https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Gari%C3%A9py"
"34","Morrakiu","tds","Tyrant Fashister; Morriaku; MarkOvDaBeest",
"35","Patrick LeBrun","tds",,
"36","Toilet Law","tds",,
"37","Amber McLamps","tds",,
"38","Azzmador","ftn","Robert Ray","The Daily Stormer, The Krypto Report"
"39","Braden O'Fahey","tds",,"Executive producer for The Fatherland"
"40","Chase Rachels","tds",,"RadicalCapitalist"
"41","Dan Kleve","tds",,"https://unicornriot.ninja/2018/university-nebraska-faces-growing-calls-expel-violent-neo-nazi-dan-kleve/"
"42","DarkEnlightenment","ry",,
"43","Death","pp",,
"44","Duke Godwin","tds",,
"45","Just War","tds",,
"46","Larry Ridgeway","3r",,"Hate House; Love Street"
"47","Lauritz Von Guildhausen","3r","Lauritz Gildie",
"48","Matt Parrott","mf",,
"49","Musonius Rufus","ry","Bret Keylon Lynn","Rebel Yell ; https://www.splcenter.org/fighting-hate/intelligence-report/2019/identity-unmasked-meet-proprietors-internets-largest-neo-confederate-propaganda-machine"
"50","Nick B. Steves","tds",,"sometimes called ""Stoves"""
"51","Northman","tds",,
"52","Paul Kersey","tds","Michael J Thompson","https://www.rightwingwatch.org/post/hiding-in-plain-sight-the-white-nationalist-who-toiled-inside-a-right-wing-media-powerhouse/"
"53","Ryan Dawson","tds",,
"54","Sacco Vandal","tds",,
"55","Scarlett O'Stonewall","tds","Becky Elder",
"56","The Autiste","mf","Freelance Autiste; John Benton",
"57","Adam Haight","pp","Adam Haidt",
"58","Andy Warski","ks",,"appears on both killstream and tds; twitter: @andywarski"
"59","Benny Ito","tds",,
"60","Big Spaghet","tds",,
"61","Brandon Richey","tds",,
"62","Breck Magnus","tds",,
"63","Cameron Padgett","tds",,
"64","Cathedral Princess","ftn","Cathy Prince","Fash Brittania"
"65","Chef Goyardee","tds",,
"66","Christoff Dulny","nf","Chris Dulney","Nordic Alt-Right"
"67","Common Filth","tds",,
"69","Spectre","3r","Dr. Spectre; Trey Garrison","Third Rail"
"70","Elbia","tds",,
"71","Fascenis","tds",,
"72","Fash-East","tds",,
