"episodeSeqNum","castID","role","notes"
"1","1",NULL,NULL
"1","2",NULL,"as ""Bjorn"""
"1","4",NULL,NULL
"1","6",NULL,NULL
"2","1",NULL,NULL
"2","2",NULL,NULL
"2","4",NULL,NULL
"2","6",NULL,NULL
"3","1",NULL,NULL
"3","2",NULL,NULL
"3","3",NULL,NULL
"3","4",NULL,NULL
"3","6",NULL,NULL
"3","29",NULL,NULL
"4","1",NULL,NULL
"4","2",NULL,NULL
"4","4",NULL,NULL
"4","6",NULL,NULL
"5","1",NULL,NULL
"5","2",NULL,NULL
"5","3",NULL,NULL
"5","4",NULL,NULL
"5","6",NULL,NULL
"6","1",NULL,NULL
"6","2",NULL,NULL
"6","4",NULL,NULL
"6","6",NULL,NULL
"7","1",NULL,NULL
"7","2",NULL,NULL
"7","3",NULL,NULL
"7","4",NULL,NULL
"7","102","guest",NULL
"8","1",NULL,NULL
"8","2",NULL,NULL
"8","4",NULL,NULL
"8","6",NULL,NULL
"8","7",NULL,NULL
"9","1",NULL,NULL
"9","2",NULL,NULL
"9","3",NULL,NULL
"9","4",NULL,NULL
"9","6",NULL,NULL
"10","1",NULL,NULL
"10","2",NULL,NULL
"10","3",NULL,NULL
"10","4",NULL,NULL
"10","6",NULL,NULL
"12","1",NULL,NULL
"12","2",NULL,NULL
"12","4",NULL,NULL
"12","6",NULL,NULL
"13","1",NULL,NULL
"13","2",NULL,NULL
"13","3",NULL,NULL
"13","4",NULL,NULL
"13","6",NULL,NULL
"14","1",NULL,NULL
"14","2",NULL,NULL
"14","4",NULL,NULL
"14","6",NULL,NULL
"15","1",NULL,NULL
"15","2",NULL,NULL
"15","4",NULL,NULL
"16","1",NULL,NULL
"16","2",NULL,NULL
"16","4",NULL,NULL
"16","6",NULL,NULL
"16","51",NULL,NULL
"17","1",NULL,NULL
"17","2",NULL,NULL
"17","4",NULL,NULL
"17","85","guest",NULL
"18","1",NULL,NULL
"18","2",NULL,NULL
"18","3",NULL,NULL
"18","4",NULL,NULL
"19","1",NULL,NULL
"19","2",NULL,NULL
"19","4",NULL,NULL
"19","25",NULL,"trs favorite waifu"
"20","1",NULL,NULL
"20","2",NULL,NULL
"20","3",NULL,NULL
"20","4",NULL,NULL
"20","6",NULL,NULL
"21","1",NULL,NULL
"21","2",NULL,NULL
"21","3",NULL,NULL
"21","6",NULL,NULL
"21","26","guest",NULL
"22","1",NULL,NULL
"22","3",NULL,NULL
"22","6",NULL,NULL
"23","1",NULL,NULL
"23","2",NULL,NULL
"23","4",NULL,NULL
"23","6",NULL,NULL
"24","1",NULL,NULL
"24","2",NULL,NULL
"24","3",NULL,NULL
"24","4",NULL,NULL
"24","6",NULL,NULL
"24","51",NULL,NULL
"25","1",NULL,NULL
"25","2",NULL,NULL
"25","3",NULL,NULL
"25","6",NULL,NULL
"26","1",NULL,NULL
"26","2",NULL,NULL
"26","6",NULL,NULL
"26","29",NULL,NULL
"27","1",NULL,NULL
"27","2",NULL,NULL
"27","3",NULL,NULL
"27","4",NULL,NULL
"27","6",NULL,NULL
"28","1",NULL,NULL
"28","2",NULL,NULL
"28","3",NULL,NULL
"28","4",NULL,NULL
"28","6",NULL,NULL
"28","25",NULL,NULL
"29","1",NULL,NULL
"29","2",NULL,NULL
"29","4",NULL,NULL
"29","6",NULL,NULL
"29","7",NULL,NULL
"30","1",NULL,NULL
"30","2",NULL,NULL
"30","15",NULL,NULL
"30","25",NULL,NULL
"30","71",NULL,NULL
"31","1",NULL,NULL
"31","2",NULL,NULL
"31","4",NULL,NULL
"31","6",NULL,NULL
"32","1",NULL,NULL
"32","4",NULL,NULL
"32","6",NULL,NULL
"32","67","guest",NULL
"33","2",NULL,NULL
"33","6",NULL,NULL
"33","20","guest",NULL
"34","1",NULL,NULL
"34","2",NULL,NULL
"34","6",NULL,NULL
"34","7",NULL,NULL
"34","15",NULL,NULL
"35","1",NULL,NULL
"35","2",NULL,NULL
"35","21",NULL,NULL
"35","25",NULL,NULL
"36","1",NULL,NULL
"36","2",NULL,NULL
"36","6",NULL,NULL
"36","7",NULL,NULL
"37","1",NULL,NULL
"37","2",NULL,NULL
"37","3",NULL,NULL
"37","50",NULL,NULL
"39","1",NULL,NULL
"39","2",NULL,NULL
"39","15",NULL,NULL
"39","21",NULL,NULL
"40","1",NULL,NULL
"40","2",NULL,NULL
"40","6",NULL,NULL
"41","1",NULL,NULL
"41","4",NULL,NULL
"41","6",NULL,NULL
"41","44",NULL,NULL
"42","1",NULL,NULL
"42","2",NULL,NULL
"42","4",NULL,NULL
"42","45",NULL,NULL
"44","1",NULL,NULL
"44","2",NULL,NULL
"44","4",NULL,NULL
"45","1",NULL,NULL
"45","2",NULL,NULL
"45","4",NULL,NULL
"45","15",NULL,"sometimes introduced as ""Meow Blitz"""
"45","45",NULL,NULL
"45","89",NULL,NULL
"46","1",NULL,NULL
"46","2",NULL,NULL
"46","20","guest",NULL
"47","1",NULL,NULL
"47","2",NULL,NULL
"47","3",NULL,NULL
"47","4",NULL,NULL
"47","7",NULL,NULL
"47","15",NULL,"sometimes introduced as ""Meow Blitz"""
"48","1",NULL,NULL
"48","2",NULL,NULL
"48","15",NULL,"sometimes introduced as ""Meow Blitz"""
"48","36",NULL,NULL
"48","112",NULL,NULL
"49","2",NULL,NULL
"49","7",NULL,NULL
"49","12",NULL,NULL
"50","2",NULL,NULL
"50","4",NULL,NULL
"50","7",NULL,NULL
"50","26",NULL,NULL
"51","1",NULL,NULL
"51","2",NULL,NULL
"51","7",NULL,NULL
"51","31",NULL,NULL
"51","88",NULL,NULL
"52","1",NULL,NULL
"52","2",NULL,NULL
"52","12",NULL,NULL
"52","21",NULL,NULL
"52","26",NULL,NULL
"53","1",NULL,NULL
"53","2",NULL,NULL
"54","1",NULL,NULL
"54","2",NULL,NULL
"54","4",NULL,NULL
"55","1",NULL,NULL
"55","2",NULL,NULL
"55","4",NULL,NULL
"55","12",NULL,NULL
"55","15",NULL,"sometimes introduced as ""Meow Blitz"""
"56","1",NULL,NULL
"56","2",NULL,NULL
"56","4",NULL,NULL
"56","50",NULL,NULL
"57","1",NULL,NULL
"57","2",NULL,NULL
"57","4",NULL,NULL
"57","15",NULL,"sometimes introduced as ""Meow Blitz"""
"57","21",NULL,NULL
"57","44",NULL,NULL
"57","55",NULL,NULL
"58","1",NULL,NULL
"58","2",NULL,NULL
"58","4",NULL,NULL
"59","1",NULL,NULL
"59","2",NULL,NULL
"59","4",NULL,NULL
"59","73",NULL,NULL
"60","1",NULL,NULL
"60","2",NULL,NULL
"60","4",NULL,NULL
"60","7",NULL,NULL
"60","12",NULL,NULL
"61","1",NULL,NULL
"61","2",NULL,NULL
"61","4",NULL,NULL
"61","7",NULL,NULL
"62","2",NULL,NULL
"62","4",NULL,NULL
"62","7",NULL,NULL
"62","12",NULL,NULL
"63","1",NULL,NULL
"63","2",NULL,NULL
"63","4",NULL,NULL
"63","7",NULL,NULL
"63","19",NULL,NULL
"63","56",NULL,NULL
"64","1",NULL,NULL
"64","2",NULL,NULL
"64","4",NULL,NULL
"64","19","guest",NULL
"64","26",NULL,NULL
"64","55","guest",NULL
"64","96","guest",NULL
"65","1",NULL,NULL
"65","2",NULL,NULL
"65","4",NULL,NULL
"65","21",NULL,NULL
"66","1",NULL,NULL
"66","2",NULL,NULL
"66","4",NULL,NULL
"66","13","guest",NULL
"66","34",NULL,NULL
"66","36",NULL,NULL
"67","1",NULL,NULL
"67","2",NULL,NULL
"67","4",NULL,NULL
"67","19",NULL,NULL
"68","1",NULL,NULL
"68","2",NULL,NULL
"68","3",NULL,NULL
"68","19",NULL,NULL
"68","31",NULL,NULL
"69","1",NULL,NULL
"69","2",NULL,NULL
"69","3",NULL,NULL
"69","4",NULL,NULL
"69","12",NULL,NULL
"69","22",NULL,NULL
"69","106",NULL,NULL
"70","1",NULL,NULL
"70","3",NULL,NULL
"70","4",NULL,NULL
"70","22",NULL,NULL
"70","23",NULL,NULL
"70","64",NULL,NULL
"71","1",NULL,NULL
"71","2",NULL,NULL
"71","4",NULL,NULL
"71","8","guest",NULL
"71","59",NULL,NULL
"72","1",NULL,NULL
"72","2",NULL,NULL
"72","4",NULL,NULL
"73","1",NULL,NULL
"73","2",NULL,NULL
"73","3",NULL,NULL
"73","4",NULL,NULL
"73","12",NULL,NULL
