"episodeSeqNum","showCode","episodeNum","airDate","url","episodeTitle","episodeSummary","audioUrl","frameRateHz","numChannels","durationSecs","notes"
"1","tds","1","2014-08-03","https://therightstuff.biz/2014/08/03/the-daily-shoah-episode-1/",NULL,"The first episode of our new podcast experiment. With Michael Enoch, Ghoul, Bulbasaur and Seventh Son (aka Bjorn This Way). Special thanks to Seventh Son for audio production. We discuss race, immigration, politics, religion and social life from our unique TRS perspective. Prepare your anuses and ear canals for the best social commentary on the internet.","https://archive.org/download/TRS013/TRS001.mp3","22050","1","3662.08",NULL
"2","tds","2","2014-08-11","https://therightstuff.biz/2014/08/11/the-daily-shoah-episode-2/",NULL,"In this week’s Daily Shoah we discuss illegal immigration (again), A recent dust up concerning choke-porn star Belle Knox and Young Voices for Liberty, the futility of most radical political narratives, Iraq, the upcoming movie “Camp X-Ray” and Hollywood’s hate for the US Military and finally we round all out with our weekly JQ segment.","https://archive.org/download/TRS013/TRS002.mp3","22050","1","4403.77",NULL
"3","tds","3","2014-08-17","https://therightstuff.biz/2014/08/17/the-daily-shoah-episode-3-summer-chimpout-edition/","Summer Chimpout Edition","In this week’s Daily Shoah we have an emergency Death Panel session to discuss the recent events in Ferguson, Missouri followed by this weeks JQ minute by our pal Morriaku.","https://archive.org/download/TRS013/TRS003.mp3","22050","1","6440.07",NULL
"4","tds","4","2014-08-25","https://therightstuff.biz/2014/08/25/the-daily-shoah-episode-4-the-isis-bucket-challenge/","The ISIS Bucket Challenge","On this week’s Daily Shoah we take the ISIS bucket challenge and talk about James Foley, ISIS, Social Justice Jihadi rappers and generally removing kebab.","https://archive.org/download/TRS013/TRS004.mp3","22050","1","4188.06",NULL
"5","tds","5","2014-09-02","https://therightstuff.biz/2014/09/02/the-daily-shoah-episode-5-labor-all-day/","Labor All Day","In this week’s Daily Shoah we present our Labor All Day Commie spectacular. The Death Panel takes on the Red Scare… or adds to it, depending on your particular worldview (all of which are totes valid and important). Morrakiu returns with another installment of the freshly renamed “Merchant Minute!”","https://archive.org/download/TRS013/TRS005.mp3","22050","1","4624.90",NULL
"6","tds","6","2014-09-08","https://therightstuff.biz/2014/09/08/the-daily-shoah-episode-6-whither-britannia/","Whither Britannia?","On this week’s Daily Shoah we discuss the child sex abuse scandal in Rotherham, England, the desperate scrambling by progressives to preserve their narrative as well as potential consequences for European politics than none of us really know anything about. Finally Morrakiu rounds it out with a look at the real culprits behind it all in this week’s “Merchant Minute.”","https://archive.org/download/TRS013/TRS006.mp3","22050","1","3774.80",NULL
"7","tds","7","2014-09-15","https://therightstuff.biz/2014/09/15/the-daily-shoah-episode-7-an-inside-job/","An Inside Job","This week on The Daily Shoah, a very special guest clears up everything we thought we knew about 9/11, and Morrakiu brings us yet another triumphant Merchant Minute.","https://archive.org/download/TRS013/TRS007.mp3","22050","1","2230.13",NULL
"8","tds","8","2014-09-22","https://therightstuff.biz/2014/09/22/the-daily-shoah-episode-8-terrorism-and-tornadoes/","Terrorism and Tornadoes","Sunday’s “People’s Climate March” in New York City prompted the Death Panel to convene, postpone their plans for this weeks episode and discuss the insanity. Unqualified Expert in Fucking Loving Science “Hateful Heretic” joins us and explains how to get your solar panel array to generate 1,488 jiggawatts of white power. Morrakiu blesses us yet again with another installment of The Merchant Minute.","https://archive.org/download/TRS013/TRS008.mp3","32000","1","4083.05",NULL
"9","tds","9","2014-09-29","https://therightstuff.biz/2014/09/29/the-daily-shoah-episode-9-gracias-mi-general/","""Gracias, Mi General""","In this week’s Struggle Session the TRS Death Panel praise the great Augusto Pinochet Ugarte for his epic smackdown of international communism in his native Chile. Pathetic leftists myths and narratives are crushed with stubborn facts, and because Britain is faggots. Morrakiu brings us another brilliant Merchant Minute.","https://archive.org/download/TRS013/TRS009.mp3","22050","1","4266.08",NULL
"10","tds","10","2014-10-06","https://therightstuff.biz/2014/10/06/the-daily-shoah-episode-10-ebola-in-the-time-of-autism/","Ebola in the Time of Autism","The Jew And Improved Daily Shoah! We’ve added a few features and format changes. Here’s a breakdown of the show for those of you with high time preference:","https://archive.org/download/TRS013/TRS010.mp3","32000","1","4572.07",NULL
