"showCode","showName","network"
"3r","Third Rail","TRS"
"ch","The Cocktail Hour",NULL
"exam","Exodus Americanus","TRS"
"fh","Full Haus",NULL
"ftn","Fash the Nation","TRS"
"gmw","Good Morning Weimerica","IdentityDixie"
"gt","GoyTalk","Vanguard"
"hm","Helicopter Mom","IdentityDixie"
"ks","Killstream","RalphRetort"
"mf","Mysterium Fasces","Radio Aryan"
"msg","McSpencer Group",NULL
"nf","Nordic Frontier",NULL
"pp","Paranormies Present","TRS"
"ry","Rebel Yell","IdentityDixie"
"sm","Strike and Mike","TRS"
"tds","The Daily Shoah","TRS"
"tpc","The Political Cesspool",NULL
"wrr","White Rabbit Radio",NULL
